Date,Open,High,Low,Close,Volume,SOURCE: Pocket Portfolio API
09/01/2016,183.73,185.49,179.93,182.78,77934600,
10/01/2016,182.31,183.85,179.43,181.17,56215000,
11/01/2016,181.52,192.25,178.64,191.40,82978500,
12/01/2016,191.84,199.83,191.43,197.51,87859700,
01/01/2017,198.91,200.97,196.69,198.36,86089800,
02/01/2017,199.13,208.37,198.02,207.98,63888900,
03/01/2017,209.92,211.59,203.81,206.34,86710800,
04/01/2017,206.52,210.43,203.64,209.08,57320200,
05/01/2017,209.49,210.92,205.86,210.00,55340000,
06/01/2017,210.27,215.07,209.91,213.24,57726200,
07/01/2017,213.95,219.03,212.68,218.70,38988600,
08/01/2017,219.74,221.68,215.73,219.52,67798900,
09/01/2017,220.13,223.97,217.18,223.82,43396000,
10/01/2017,224.19,234.70,224.02,233.63,50038700,
11/01/2017,234.60,243.49,232.65,242.84,61412300,
12/01/2017,243.14,248.61,239.41,247.38,73664300,
01/01/2018,248.34,265.93,247.23,261.44,102211800,
02/01/2018,259.95,262.90,233.76,250.20,183041700,
03/01/2018,250.21,254.72,234.85,241.40,121375800,
04/01/2018,240.33,248.48,233.20,241.54,107013400,
05/01/2018,240.69,250.67,235.12,244.18,82718200,
06/01/2018,246.14,254.16,239.83,242.73,99747700,
07/01/2018,240.92,255.68,240.62,254.17,75848400,
08/01/2018,253.90,261.77,249.86,259.85,79663800,
09/01/2018,259.22,267.61,257.82,264.40,63102800,
10/01/2018,266.10,269.28,241.05,251.19,163946700,
11/01/2018,252.15,262.97,242.71,255.51,93217400,
12/01/2018,260.17,260.30,216.97,233.20,136737400,
01/01/2019,229.27,251.00,226.36,250.12,93252100,
02/01/2019,250.67,262.36,249.13,259.28,60166600,
03/01/2019,261.15,261.68,252.46,259.13,88452200,
04/01/2019,261.23,266.86,260.58,265.79,62240200,
05/01/2019,266.47,266.81,248.22,248.22,90766600,
06/01/2019,248.34,268.96,247.04,265.85,64656500,
07/01/2019,268.45,273.99,266.00,268.52,47920200,
08/01/2019,268.82,271.71,253.93,264.13,87214100,
09/01/2019,262.07,273.44,260.03,269.18,56036400,
10/01/2019,269.76,275.00,257.38,270.48,62734700,
11/01/2019,271.86,281.91,271.69,280.95,37038500,
12/01/2019,281.45,286.85,273.62,285.10,44607400,
01/01/2020,286.44,293.61,281.61,282.42,58268500,
02/01/2020,283.69,295.87,247.00,254.56,91684900,
03/01/2020,256.71,271.11,182.10,219.23,254951200,
04/01/2020,210.65,247.67,207.18,243.22,138549700,
05/01/2020,239.58,257.94,228.30,254.29,89615500,
06/01/2020,253.78,276.38,249.10,257.87,120196900,
07/01/2020,258.87,270.54,255.35,264.35,74383800,
08/01/2020,265.67,287.45,265.35,284.28,55267700,
09/01/2020,283.73,292.36,265.27,277.50,77593100,
10/01/2020,279.33,289.61,261.41,265.06,72158000,
11/01/2020,268.90,301.11,266.93,296.62,82895400,
12/01/2020,299.73,306.29,296.35,305.79,64517400,
01/01/2021,306.59,312.71,298.59,299.81,71320500,
02/01/2021,302.28,320.04,300.14,309.45,61198700,
03/01/2021,313.48,332.86,305.68,330.18,122196100,
04/01/2021,330.78,342.43,329.72,338.94,75055200,
05/01/2021,340.79,351.09,335.20,345.64,86276900,
06/01/2021,348.54,348.65,332.68,344.95,76505600,
07/01/2021,345.78,351.71,337.38,349.48,88572500,
08/01/2021,350.45,356.60,347.11,353.92,69352400,
09/01/2021,354.29,355.18,335.99,338.29,98119200,
10/01/2021,340.03,358.93,337.68,358.23,83791100,
11/01/2021,359.45,365.64,344.36,344.90,86987900,
12/01/2021,348.04,366.72,340.32,363.32,121742800,
01/01/2022,364.34,369.50,331.35,351.08,207917000,
02/01/2022,351.66,358.10,322.69,339.34,139897900,
03/01/2022,337.27,353.71,326.06,346.83,127876900,
04/01/2022,348.15,354.88,329.10,329.69,103814200,
05/01/2022,330.35,341.17,306.28,330.20,125438000,
06/01/2022,332.41,332.95,296.39,307.82,79873500,
07/01/2022,307.40,329.27,301.47,328.66,58151800,
08/01/2022,326.91,343.09,315.60,315.65,64243500,
09/01/2022,314.29,325.68,287.04,287.30,73801400,
10/01/2022,290.56,328.89,286.62,327.42,90874400,
11/01/2022,329.37,346.19,317.18,346.15,91475200,
12/01/2022,346.75,348.22,325.65,331.33,92339500,
01/01/2023,332.42,343.49,328.10,340.83,74209900,
02/01/2023,339.12,343.53,326.43,326.57,70147900,
03/01/2023,326.04,336.12,314.97,332.62,98518300,
04/01/2023,333.59,341.04,332.31,341.03,52752200,
05/01/2023,341.10,342.59,325.82,329.52,65523800,
06/01/2023,328.91,345.73,327.32,343.85,67949100,
07/01/2023,343.00,356.36,337.17,355.57,65726200,
08/01/2023,355.27,356.70,340.35,347.81,75614100,
09/01/2023,349.93,350.63,332.93,334.95,59045500,
10/01/2023,334.29,341.52,323.21,330.48,90645800,
11/01/2023,330.92,360.18,330.10,360.00,67610600,
12/01/2023,360.02,377.69,359.86,376.87,81068000,
01/01/2024,374.80,385.82,371.34,381.37,87501200,
02/01/2024,381.40,392.84,380.46,389.95,66004000,
03/01/2024,389.85,398.82,384.92,397.76,70810900,
